2021-03-28 22:44:35,447 INFO: Binance Trader v0.0.2
2021-03-28 22:44:36,016 INFO: XRP balance: 0.0
2021-03-28 22:44:36,016 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,018 INFO: XRP balance: 0.0
2021-03-28 22:44:36,018 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,020 INFO: XRP balance: 0.0
2021-03-28 22:44:36,020 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,365 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54362 IFTSTOCH: -0.10693947462853853
2021-03-28 22:44:37,707 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54366 IFTSTOCH: -0.025711628773543865
2021-03-28 22:44:38,895 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54369 IFTSTOCH: 0.03549227838843412
2021-03-28 22:44:39,273 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54369 IFTSTOCH: 0.03549227838843412
2021-03-28 22:44:40,213 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54369 IFTSTOCH: 0.03549227838843412
2021-03-28 22:44:40,663 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54369 IFTSTOCH: 0.03549227838843412
2021-03-28 22:44:41,550 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54368 IFTSTOCH: 0.015097882302364063
2021-03-28 22:44:41,807 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54368 IFTSTOCH: 0.015097882302364063
2021-03-28 22:44:41,987 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54369 IFTSTOCH: 0.03549227838843412
2021-03-28 22:44:42,881 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54372 IFTSTOCH: 0.09643110094462898
2021-03-28 22:44:43,129 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54372 IFTSTOCH: 0.09643110094462898
2021-03-28 22:44:43,310 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54372 IFTSTOCH: 0.09643110094462898
2021-03-28 22:44:44,222 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54384 IFTSTOCH: 0.3289314942348729
2021-03-28 22:44:44,470 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54384 IFTSTOCH: 0.3289314942348729
2021-03-28 22:44:44,648 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54384 IFTSTOCH: 0.3289314942348729
2021-03-28 22:44:45,566 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54386 IFTSTOCH: 0.3648297653583413
2021-03-28 22:44:45,810 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54394 IFTSTOCH: 0.4972990044142619
2021-03-28 22:44:45,997 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54394 IFTSTOCH: 0.4972990044142619
2021-03-28 22:44:46,892 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54396 IFTSTOCH: 0.5273936276329069
2021-03-28 22:44:47,132 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54396 IFTSTOCH: 0.5273936276329069
2021-03-28 22:44:47,336 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54396 IFTSTOCH: 0.5273936276329069
2021-03-28 22:44:48,241 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54387 IFTSTOCH: 0.382388415983457
2021-03-28 22:44:48,491 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54387 IFTSTOCH: 0.382388415983457
2021-03-28 22:44:48,686 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54399 IFTSTOCH: 0.5701547437675515
